rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_period_err1,koi_period_err2,koi_eccen,koi_eccen_err1,koi_eccen_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_steff,koi_steff_err1,koi_steff_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2
42,9527334,K00049.01,,CANDIDATE,CANDIDATE,8.313783059,7.66E-06,-7.66E-06,0,,,2.69,4.50E-01,-1.10E-01,0.0821,,,89.95,,,886,,,5900,106,-125,0.951,0.159,-0.04,1.065,0.047,-0.071
43,6056992,K00051.01,,CANDIDATE,CANDIDATE,10.43114796,2.70E-06,-2.70E-06,0,,,49.78,0.00E+00,0.00E+00,0.0936,,,85.37,,,833,,,5780,,,1,,,1,,
47,11554435,K00063.01,Kepler-63 b,CONFIRMED,CANDIDATE,9.434151089,2.05E-06,-2.05E-06,0,,,5.57,7.50E-01,-1.70E-01,0.0873,,,89.38,,,789,,,5650,98,-113,0.876,0.117,-0.027,0.993,0.033,-0.063
52,3544595,K00069.01,Kepler-93 b,CONFIRMED,CANDIDATE,4.726739475,1.49E-06,-1.49E-06,0,,,1.59,4.00E-02,-3.00E-02,0.0533,,,85.94,,,1039,,,5669,75,-75,0.921,0.02,-0.02,0.909,0.057,-0.057
53,6850504,K00070.01,Kepler-20 c,CONFIRMED,CANDIDATE,10.85409784,4.40E-06,-4.40E-06,0,,,3.03,5.30E-01,-2.40E-01,0.0919,,,88.81,,,765,,,5465,110,-96,0.925,0.163,-0.073,0.876,0.062,-0.041
54,6850504,K00070.02,Kepler-20 b,CONFIRMED,CANDIDATE,3.696119675,2.31E-06,-2.31E-06,0,,,2.11,3.70E-01,-1.70E-01,0.0448,,,82.51,,,1095,,,5465,110,-96,0.925,0.163,-0.073,0.876,0.062,-0.041
55,6850504,K00070.03,Kepler-20 d,CONFIRMED,CANDIDATE,77.6115987,1.36E-04,-1.36E-04,0,,,2.62,4.60E-01,-2.10E-01,0.3411,,,89.95,,,397,,,5465,110,-96,0.925,0.163,-0.073,0.876,0.062,-0.041
56,6850504,K00070.04,Kepler-20 e,CONFIRMED,CANDIDATE,6.09853672,2.84E-05,-2.84E-05,0,,,0.82,1.50E-01,-6.00E-02,0.0626,,,87.66,,,927,,,5465,110,-96,0.925,0.163,-0.073,0.876,0.062,-0.041
57,6850504,K00070.05,Kepler-20 f,CONFIRMED,CANDIDATE,19.5776286,1.24E-04,-1.24E-04,0,,,0.99,1.80E-01,-8.00E-02,0.1362,,,89.38,,,628,,,5465,110,-96,0.925,0.163,-0.073,0.876,0.062,-0.041
58,11904151,K00072.01,Kepler-10 b,CONFIRMED,CANDIDATE,0.837491331,2.72E-07,-2.72E-07,0,,,1.45,3.00E-02,-3.00E-02,0.0168,,,89.38,,,1968,,,5627,44,-44,1.056,0.021,-0.021,0.895,0.06,-0.06
59,11904151,K00072.02,Kepler-10 c,CONFIRMED,CANDIDATE,45.29431717,5.28E-05,-5.28E-05,0,,,2.28,5.00E-02,-4.00E-02,0.2397,,,89.95,,,521,,,5627,44,-44,1.056,0.021,-0.021,0.895,0.06,-0.06
61,7199397,K00075.01,,CANDIDATE,CANDIDATE,105.8823928,2.52E-04,-2.52E-04,0,,,10.5,2.50E-01,-2.40E-01,0.4817,,,88.81,,,596,,,5896,75,-75,2.527,0.059,-0.059,1.33,0.069,-0.069
65,10187017,K00082.01,Kepler-102 e,CONFIRMED,CANDIDATE,16.14569077,6.65E-06,-6.65E-06,0,,,2.52,1.00E-01,-1.40E-01,0.1129,,,88.24,,,549,,,4812,101,-93,0.755,0.031,-0.042,0.734,0.048,-0.029
66,10187017,K00082.02,Kepler-102 d,CONFIRMED,CANDIDATE,10.31173752,1.03E-05,-1.03E-05,0,,,1.4,5.00E-02,-8.00E-02,0.0837,,,87.09,,,638,,,4812,101,-93,0.755,0.031,-0.042,0.734,0.048,-0.029
67,10187017,K00082.03,Kepler-102 f,CONFIRMED,CANDIDATE,27.4537294,1.03E-04,-1.03E-04,0,,,0.79,3.00E-02,-5.00E-02,0.1608,,,89.95,,,460,,,4812,101,-93,0.755,0.031,-0.042,0.734,0.048,-0.029
68,10187017,K00082.04,Kepler-102 c,CONFIRMED,CANDIDATE,7.07136076,2.57E-05,-2.57E-05,0,,,0.58,2.00E-02,-3.00E-02,0.0651,,,89.95,,,723,,,4812,101,-93,0.755,0.031,-0.042,0.734,0.048,-0.029
69,10187017,K00082.05,Kepler-102 b,CONFIRMED,CANDIDATE,5.28695437,2.54E-05,-2.54E-05,0,,,0.49,2.00E-02,-3.00E-02,0.0536,,,88.24,,,797,,,4812,101,-93,0.755,0.031,-0.042,0.734,0.048,-0.029
70,2571238,K00084.01,Kepler-19 b,CONFIRMED,CANDIDATE,9.286968825,3.88E-06,-3.88E-06,0,,,2.13,3.10E-01,-9.00E-02,0.0833,,,89.95,,,764,,,5543,106,-109,0.813,0.122,-0.033,0.891,0.048,-0.067
71,5866724,K00085.01,Kepler-65 c,CONFIRMED,CANDIDATE,5.859938722,2.61E-06,-2.61E-06,0,,,2.55,4.00E-02,-4.00E-02,0.069,,,89.95,,,1236,,,6169,50,-50,1.424,0.024,-0.024,1.273,0.061,-0.061
72,5866724,K00085.02,Kepler-65 b,CONFIRMED,CANDIDATE,2.154909039,1.84E-06,-1.84E-06,0,,,1.5,3.00E-02,-2.00E-02,0.0354,,,80.79,,,1726,,,6169,50,-50,1.424,0.024,-0.024,1.273,0.061,-0.061
73,5866724,K00085.03,Kepler-65 d,CONFIRMED,CANDIDATE,8.13122484,1.35E-05,-1.35E-05,0,,,1.76,3.00E-02,-3.00E-02,0.0858,,,83.08,,,1109,,,6169,50,-50,1.424,0.024,-0.024,1.273,0.061,-0.061
74,10593626,K00087.01,Kepler-22 b,CONFIRMED,CANDIDATE,289.864456,1.29E-03,-1.29E-03,0,,,2.17,5.00E-02,-4.00E-02,0.8489,,,89.95,,,267,,,5642,50,-50,0.979,0.02,-0.02,0.97,0.06,-0.06
76,8056665,K00089.01,,CANDIDATE,CANDIDATE,84.6879808,2.07E-04,-2.07E-04,0,,,5.01,1.82E+00,-1.33E+00,0.4731,,,89.95,,,804,,,7717,225,-308,2.641,0.958,-0.705,1.965,0.256,-0.339
77,8056665,K00089.02,,CANDIDATE,CANDIDATE,207.5827234,6.40E-04,-6.40E-04,0,,,6,2.17E+00,-1.60E+00,0.86,,,89.95,,,597,,,7717,225,-308,2.641,0.958,-0.705,1.965,0.256,-0.339
79,7941200,K00092.01,,CANDIDATE,CANDIDATE,65.70460002,8.82E-05,-8.82E-05,0,,,2.57,4.60E-01,-1.20E-01,0.3251,,,89.95,,,454,,,5952,107,-126,0.971,0.174,-0.048,1.057,0.049,-0.077
80,6462863,K00094.01,Kepler-89 d,CONFIRMED,CANDIDATE,22.34296959,3.31E-06,-3.31E-06,0,,,9.77,2.03E+00,-1.50E+00,0.1596,,,89.95,,,767,,,6098,101,-127,1.297,0.27,-0.199,1.081,0.103,-0.075
81,6462863,K00094.02,Kepler-89 c,CONFIRMED,CANDIDATE,10.42367777,7.16E-06,-7.16E-06,0,,,3.66,7.60E-01,-5.60E-01,0.096,,,89.38,,,989,,,6098,101,-127,1.297,0.27,-0.199,1.081,0.103,-0.075
82,6462863,K00094.03,Kepler-89 e,CONFIRMED,CANDIDATE,54.31998605,3.60E-05,-3.60E-05,0,,,5.79,1.21E+00,-8.90E-01,0.2885,,,89.95,,,570,,,6098,101,-127,1.297,0.27,-0.199,1.081,0.103,-0.075
83,6462863,K00094.04,Kepler-89 b,CONFIRMED,CANDIDATE,3.743175556,9.10E-06,-9.10E-06,0,,,1.55,3.20E-01,-2.40E-01,0.0485,,,83.65,,,1391,,,6098,101,-127,1.297,0.27,-0.199,1.081,0.103,-0.075
84,5780885,K00097.01,Kepler-7 b,CONFIRMED,CANDIDATE,4.885488953,2.20E-07,-2.20E-07,0,,,17.29,5.80E-01,-5.90E-01,0.0617,,,88.24,,,1499,,,6027,75,-75,1.962,0.066,-0.066,1.318,0.089,-0.089
85,10264660,K00098.01,Kepler-14 b,CONFIRMED,CANDIDATE,6.790121599,9.76E-07,-9.76E-07,0,,,12.21,4.10E-01,-4.10E-01,0.0787,,,89.95,,,1445,,,6378,75,-75,2.075,0.07,-0.07,1.391,0.098,-0.098
86,8505215,K00099.01,,CANDIDATE,CANDIDATE,2190.701035,0.00E+00,0.00E+00,0,,,3.12,1.60E-01,-1.90E-01,2.9456,,,89.95,,,109,,,4965,109,-89,0.736,0.037,-0.044,0.709,0.053,-0.029
88,4055765,K00100.01,,CANDIDATE,CANDIDATE,9.96640145,1.00E-05,-1.00E-05,0,,,17.24,2.39E+00,-3.27E+00,0.106,,,81.36,,,1578,,,6638,117,-136,3.079,0.427,-0.584,1.595,0.175,-0.162
89,8456679,K00102.01,,CANDIDATE,CANDIDATE,1.735136026,2.84E-07,-2.84E-07,0,,,3.76,6.50E-01,-5.30E-01,0.0284,,,89.38,,,1664,,,5731,110,-120,1.231,0.215,-0.173,1.016,0.087,-0.072
90,8456679,K00102.02,,CANDIDATE,CANDIDATE,4.06844201,1.35E-05,-1.35E-05,0,,,1.1,1.90E-01,-1.60E-01,0.0502,,,89.38,,,1252,,,5731,110,-120,1.231,0.215,-0.173,1.016,0.087,-0.072
91,2444412,K00103.01,,CANDIDATE,CANDIDATE,14.91094205,1.15E-05,-1.15E-05,0,,,2.54,4.20E-01,-9.00E-02,0.1167,,,89.95,,,676,,,5653,103,-112,0.857,0.141,-0.031,0.952,0.048,-0.07
92,10318874,K00104.01,Kepler-94 b,CONFIRMED,CANDIDATE,2.508057352,3.62E-07,-3.62E-07,0,,,2.49,3.30E-01,-3.20E-01,0.0311,,,87.66,,,828,,,4238,459,-106,0.61,0.08,-0.08,0.64,0.08,-0.08
93,8711794,K00105.01,,CANDIDATE,CANDIDATE,8.981016833,3.16E-06,-3.16E-06,0,,,4.95,7.70E-01,-1.43E+00,0.0797,,,89.38,,,1060,,,5613,130,-87,1.462,0.227,-0.421,0.837,0.058,-0.039
95,11250587,K00107.01,,CANDIDATE,CANDIDATE,7.256965224,5.77E-06,-5.77E-06,0,,,3.38,1.30E-01,-1.30E-01,0.0778,,,89.95,,,1167,,,5862,97,-97,1.586,0.061,-0.061,1.201,0.091,-0.091
96,4914423,K00108.01,Kepler-103 b,CONFIRMED,CANDIDATE,15.96533687,1.35E-05,-1.35E-05,0,,,3.14,9.00E-02,-8.00E-02,0.128,,,89.95,,,864,,,5845,88,-88,1.436,0.039,-0.039,1.094,0.068,-0.068
97,4914423,K00108.02,Kepler-103 c,CONFIRMED,CANDIDATE,179.6076602,2.82E-04,-2.82E-04,0,,,5.42,1.50E-01,-1.50E-01,0.6425,,,89.38,,,385,,,5845,88,-88,1.436,0.039,-0.039,1.094,0.068,-0.068
99,9450647,K00110.01,,CANDIDATE,CANDIDATE,9.940672466,6.55E-06,-6.55E-06,0,,,2.8,1.57E+00,-3.80E-01,0.0945,,,89.95,,,1032,,,6522,154,-198,1.215,0.677,-0.168,1.14,0.266,-0.143
100,6678383,K00111.01,Kepler-104 b,CONFIRMED,CANDIDATE,11.42754563,8.59E-06,-8.59E-06,0,,,3.08,5.10E-01,-6.90E-01,0.0928,,,89.38,,,972,,,5755,119,-78,1.361,0.225,-0.305,0.814,0.056,-0.027
101,6678383,K00111.02,Kepler-104 c,CONFIRMED,CANDIDATE,23.66836427,2.98E-05,-2.98E-05,0,,,3.06,5.00E-01,-6.90E-01,0.1507,,,88.81,,,763,,,5755,119,-78,1.361,0.225,-0.305,0.814,0.056,-0.027
102,6678383,K00111.03,Kepler-104 d,CONFIRMED,CANDIDATE,51.75529576,8.42E-05,-8.42E-05,0,,,3.41,5.60E-01,-7.60E-01,0.2539,,,89.38,,,588,,,5755,119,-78,1.361,0.225,-0.305,0.814,0.056,-0.027
104,10984090,K00112.01,,CANDIDATE,CANDIDATE,51.07926307,6.35E-05,-6.35E-05,0,,,2.89,4.90E-01,-3.40E-01,0.2643,,,89.95,,,516,,,5803,111,-116,1.073,0.18,-0.125,0.943,0.072,-0.061
105,10984090,K00112.02,,CANDIDATE,CANDIDATE,3.709213846,6.33E-06,-6.33E-06,0,,,1.24,2.00E-01,-1.50E-01,0.046,,,88.81,,,1236,,,5803,111,-116,1.073,0.18,-0.125,0.943,0.072,-0.061
108,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,5.41220713,2.49E-06,-2.49E-06,0,,,3.28,1.79E+00,-6.60E-01,0.0621,,,89.38,,,1306,,,6391,157,-204,1.332,0.727,-0.269,1.085,0.283,-0.123
109,9579641,K00115.02,Kepler-105 c,CONFIRMED,CANDIDATE,7.12594591,1.25E-05,-1.25E-05,0,,,1.88,1.02E+00,-3.80E-01,0.0746,,,89.38,,,1191,,,6391,157,-204,1.332,0.727,-0.269,1.085,0.283,-0.123
110,9579641,K00115.03,,CANDIDATE,CANDIDATE,3.4358789,3.47E-05,-3.47E-05,0,,,0.65,3.50E-01,-1.30E-01,0.0459,,,88.81,,,1519,,,6391,157,-204,1.332,0.727,-0.269,1.085,0.283,-0.123
111,8395660,K00116.01,Kepler-106 c,CONFIRMED,CANDIDATE,13.57076622,1.62E-05,-1.62E-05,0,,,2.35,4.20E-01,-2.30E-01,0.1093,,,89.95,,,796,,,5881,112,-120,1.029,0.186,-0.1,0.944,0.072,-0.064
112,8395660,K00116.02,Kepler-106 e,CONFIRMED,CANDIDATE,43.84444353,9.69E-05,-9.69E-05,0,,,2.58,4.70E-01,-2.50E-01,0.2388,,,89.38,,,538,,,5881,112,-120,1.029,0.186,-0.1,0.944,0.072,-0.064
113,8395660,K00116.03,Kepler-106 b,CONFIRMED,CANDIDATE,6.16491696,4.87E-05,-4.87E-05,0,,,0.85,1.50E-01,-9.00E-02,0.0646,,,87.66,,,1035,,,5881,112,-120,1.029,0.186,-0.1,0.944,0.072,-0.064
114,8395660,K00116.04,Kepler-106 d,CONFIRMED,CANDIDATE,23.9802348,1.83E-04,-1.83E-04,0,,,0.99,1.80E-01,-9.00E-02,0.1597,,,89.38,,,658,,,5881,112,-120,1.029,0.186,-0.1,0.944,0.072,-0.064
115,10875245,K00117.01,Kepler-107 e,CONFIRMED,CANDIDATE,14.74913518,2.22E-05,-2.22E-05,0,,,3.07,1.00E-01,-1.10E-01,0.1227,,,87.09,,,875,,,5851,75,-75,1.411,0.047,-0.047,1.142,0.068,-0.068
116,10875245,K00117.02,Kepler-107 c,CONFIRMED,CANDIDATE,4.90143807,1.04E-05,-1.04E-05,0,,,1.84,6.00E-02,-6.00E-02,0.0589,,,81.93,,,1263,,,5851,75,-75,1.411,0.047,-0.047,1.142,0.068,-0.068
117,10875245,K00117.03,Kepler-107 b,CONFIRMED,CANDIDATE,3.180024635,6.56E-06,-6.56E-06,0,,,1.55,6.00E-02,-5.00E-02,0.0441,,,87.66,,,1460,,,5851,75,-75,1.411,0.047,-0.047,1.142,0.068,-0.068
118,10875245,K00117.04,Kepler-107 d,CONFIRMED,CANDIDATE,7.95830216,5.98E-05,-5.98E-05,0,,,1.07,3.00E-02,-4.00E-02,0.0813,,,89.38,,,1075,,,5851,75,-75,1.411,0.047,-0.047,1.142,0.068,-0.068
119,3531558,K00118.01,,CANDIDATE,CANDIDATE,24.99324193,6.50E-05,-6.50E-05,0,,,2.28,7.00E-02,-6.00E-02,0.1686,,,88.81,,,719,,,5747,85,-85,1.357,0.04,-0.04,1.023,0.07,-0.07
120,9471974,K00119.01,Kepler-108 b,CONFIRMED,CANDIDATE,49.18394922,3.82E-05,-3.82E-05,0,,,8.97,4.90E-01,-5.00E-01,0.2935,,,89.38,,,706,,,5854,92,-92,2.192,0.121,-0.121,1.377,0.089,-0.089
121,9471974,K00119.02,Kepler-108 c,CONFIRMED,CANDIDATE,190.3216564,6.16E-04,-6.16E-04,0,,,8.15,4.50E-01,-4.50E-01,0.7235,,,89.38,,,449,,,5854,92,-92,2.192,0.121,-0.121,1.377,0.089,-0.089
124,8349582,K00122.01,Kepler-95 b,CONFIRMED,CANDIDATE,11.52306995,9.11E-06,-9.11E-06,0,,,3.13,9.00E-02,-8.00E-02,0.1026,,,89.95,,,934,,,5699,74,-74,1.415,0.039,-0.039,1.084,0.076,-0.076
125,5094751,K00123.01,Kepler-109 b,CONFIRMED,CANDIDATE,6.481628092,5.55E-06,-5.55E-06,0,,,2.29,7.00E-02,-6.00E-02,0.069,,,89.38,,,1150,,,5952,75,-75,1.323,0.037,-0.037,1.039,0.065,-0.065
126,5094751,K00123.02,Kepler-109 c,CONFIRMED,CANDIDATE,21.22258525,2.81E-05,-2.81E-05,0,,,2.5,7.00E-02,-7.00E-02,0.1521,,,89.95,,,774,,,5952,75,-75,1.323,0.037,-0.037,1.039,0.065,-0.065
127,11086270,K00124.01,Kepler-110 b,CONFIRMED,CANDIDATE,12.69105209,2.26E-05,-2.26E-05,0,,,2.96,6.40E-01,-8.00E-01,0.1091,,,89.95,,,1067,,,5887,114,-120,1.843,0.401,-0.498,1.075,0.154,-0.146
128,11086270,K00124.02,Kepler-110 c,CONFIRMED,CANDIDATE,31.71982498,6.04E-05,-6.04E-05,0,,,3.54,7.70E-01,-9.60E-01,0.201,,,89.95,,,786,,,5887,114,-120,1.843,0.401,-0.498,1.075,0.154,-0.146
131,5897826,K00126.02,,CANDIDATE,CANDIDATE,0.875194285,8.68E-06,-8.68E-06,0,,,1.21,3.24E-01,-3.24E-01,0.0188931,1.25E-07,-1.25E-07,69,3.04E+01,-3.04E+01,2518,283,-283,5855,115,-115,1.796,0.398,-0.398,,,
132,8359498,K00127.01,Kepler-77 b,CONFIRMED,CANDIDATE,3.578780551,1.63E-07,-1.63E-07,0,,,10.43,1.36E+00,-4.80E-01,0.0472,,,89.95,,,1144,,,5705,107,-145,0.976,0.128,-0.045,1.09,0.038,-0.086
133,11359879,K00128.01,Kepler-15 b,CONFIRMED,CANDIDATE,4.942783399,2.32E-07,-2.32E-07,0,,,10.77,1.80E+00,-6.70E-01,0.0569,,,87.09,,,1008,,,5514,89,-109,0.978,0.163,-0.061,1.003,0.027,-0.064
134,11974540,K00129.01,,CANDIDATE,CANDIDATE,24.66919569,5.41E-06,-5.41E-06,0,,,12.3,7.46E+00,-2.23E+00,0.1804,,,89.95,,,832,,,6748,150,-245,1.409,0.854,-0.255,1.291,0.279,-0.229
137,7778437,K00131.01,,CANDIDATE,CANDIDATE,5.014234575,5.94E-07,-5.94E-07,0,,,10.53,7.68E+00,-1.54E+00,0.0629,,,89.95,,,1284,,,6475,169,-250,1.271,0.927,-0.186,1.314,0.257,-0.256
141,9818381,K00135.01,Kepler-43 b,CONFIRMED,CANDIDATE,3.024092548,1.59E-07,-1.59E-07,0,,,12.1,8.90E-01,-9.80E-01,0.0436,,,87.66,,,1475,,,6022,116,-138,1.345,0.1,-0.108,1.21,0.059,-0.107
143,8644288,K00137.01,Kepler-18 c,CONFIRMED,CANDIDATE,7.641571533,1.79E-06,-1.79E-06,0,,,4.98,3.40E-01,-3.20E-01,0.0729,,,89.95,,,899,,,5356,109,-64,1.055,0.072,-0.068,0.882,0.053,-0.021
144,8644288,K00137.02,Kepler-18 d,CONFIRMED,CANDIDATE,14.85891269,3.76E-06,-3.76E-06,0,,,5.96,4.10E-01,-3.80E-01,0.1136,,,89.95,,,720,,,5356,109,-64,1.055,0.072,-0.068,0.882,0.053,-0.021
145,8644288,K00137.03,Kepler-18 b,CONFIRMED,CANDIDATE,3.504687554,3.58E-06,-3.58E-06,0,,,2.11,1.40E-01,-1.40E-01,0.0434,,,84.8,,,1165,,,5356,109,-64,1.055,0.072,-0.068,0.882,0.053,-0.021
146,8506766,K00138.01,,CANDIDATE,CANDIDATE,48.93787615,1.93E-05,-1.93E-05,0,,,26.2,1.32E+01,-6.92E+00,0.2948,,,88.24,,,771,,,7061,207,-317,1.807,0.913,-0.477,1.424,0.281,-0.309
147,8559644,K00139.01,Kepler-111 c,CONFIRMED,CANDIDATE,224.7782093,3.05E-04,-3.05E-04,0,,,7.52,1.66E+00,-7.30E-01,0.7469,,,89.38,,,323,,,5906,98,-127,1.145,0.254,-0.11,1.098,0.074,-0.083
148,8559644,K00139.02,Kepler-111 b,CONFIRMED,CANDIDATE,3.341802938,7.02E-06,-7.02E-06,0,,,1.75,3.90E-01,-1.60E-01,0.0452,,,76.2,,,1311,,,5906,98,-127,1.145,0.254,-0.11,1.098,0.074,-0.083
150,12105051,K00141.01,,CANDIDATE,CANDIDATE,2.624234598,4.07E-07,-4.07E-07,0,,,5.14,8.40E-01,-1.90E-01,0.0372,,,85.37,,,1153,,,5377,97,-104,0.879,0.144,-0.032,0.992,0.023,-0.076
151,5446285,K00142.01,Kepler-88 b,CONFIRMED,CANDIDATE,10.91610834,4.88E-06,-4.88E-06,0,,,3.93,6.60E-01,-1.50E-01,0.098,,,87.09,,,758,,,5575,82,-116,0.932,0.157,-0.036,1.051,0.053,-0.079
154,4180280,K00144.01,,CANDIDATE,CANDIDATE,4.176255514,1.84E-06,-1.84E-06,0,,,3.22,1.90E-01,-9.00E-02,0.0479,,,83.08,,,878,,,4911,101,-95,0.786,0.046,-0.024,0.836,0.03,-0.044
155,9904059,K00145.01,,CANDIDATE,CANDIDATE,102.9639386,6.09E-04,-6.09E-04,0,,,39.88,1.97E+00,-7.82E+00,0.5554,,,87.66,,,797,,,5047,60,-142,7.119,0.352,-1.396,2.15,0.185,-0.72
158,5735762,K00148.01,Kepler-48 b,CONFIRMED,CANDIDATE,4.778004028,3.55E-06,-3.55E-06,0,,,1.89,2.30E-01,-6.00E-02,0.0547,,,87.66,,,922,,,5296,108,-96,0.852,0.105,-0.029,0.955,0.028,-0.066
159,5735762,K00148.02,Kepler-48 c,CONFIRMED,CANDIDATE,9.673953474,5.62E-06,-5.62E-06,0,,,2.61,3.20E-01,-9.00E-02,0.0876,,,89.95,,,729,,,5296,108,-96,0.852,0.105,-0.029,0.955,0.028,-0.066
160,5735762,K00148.03,Kepler-48 d,CONFIRMED,CANDIDATE,42.89605505,9.65E-05,-9.65E-05,0,,,2.02,2.50E-01,-7.00E-02,0.2365,,,89.95,,,443,,,5296,108,-96,0.852,0.105,-0.029,0.955,0.028,-0.066
